DemScen,VehType,VC,CostCat,VTCost_shr,BaseVTCost_cpm,VTCost_cpm
DS7,HDVClass8,HDV,Registration,0,170.6,0
DS7,HDVClass8,HDV,Time,0.17907385697538103,170.6,30.550000000000004
DS7,HDVClass8,HDV,TollsFees,0.032239155920281364,170.6,5.5
DS7,HDVClass8,HDV,Total,0.6921541617819461,170.6,118.0815
DS7,HDVClass8,HDV,VehCapCost,0.11078546307151231,170.6,18.9
DS7,LDVAvgLtTruck,LDV,AccAndIns,0.012373120349261408,137.24766027200002,1.6981818182
DS7,LDVAvgLtTruck,LDV,Fuel,0.040247021021351706,137.24766027200002,5.523809468098523
DS7,LDVAvgLtTruck,LDV,Maintenance,0.04480950704596212,137.24766027200002,6.15
DS7,LDVAvgLtTruck,LDV,Parking,0.01655931524439736,137.24766027200002,2.272727273
DS7,LDVAvgLtTruck,LDV,Registration,0.05259238520857019,137.24766027200002,7.218181818
DS7,LDVAvgLtTruck,LDV,Time,0.18213400833543936,137.24766027200002,24.9974665
DS7,LDVAvgLtTruck,LDV,TollsFees,0,137.24766027200002,0
DS7,LDVAvgLtTruck,LDV,Total,0.6655944136771208,137.24766027200002,91.35127596729852
DS7,LDVAvgLtTruck,LDV,VehCapCost,0.3168790564721387,137.24766027200002,43.49090909
DS7,LDVAvgSedan,LDV,AccAndIns,0.014606198544581098,115.66674735000001,1.6894514767999997
DS7,LDVAvgSedan,LDV,Fuel,0.0354948348139487,115.66674735000001,4.105572090654989
DS7,LDVAvgSedan,LDV,Maintenance,0.04729103329454003,115.66674735000001,5.47
DS7,LDVAvgSedan,LDV,Parking,0.01823950866895368,115.66674735000001,2.109704641
DS7,LDVAvgSedan,LDV,Registration,0.044504401160546686,115.66674735000001,5.147679325
DS7,LDVAvgSedan,LDV,Time,0.21611627432004554,115.66674735000001,24.9974665
DS7,LDVAvgSedan,LDV,TollsFees,0,115.66674735000001,0
DS7,LDVAvgSedan,LDV,Total,0.6348155257731036,115.66674735000001,73.427047033455
DS7,LDVAvgSedan,LDV,VehCapCost,0.25856327497048787,115.66674735000001,29.907173
