VehClass,VehSubClass.Fuel_Tech,Automation,Ref,Baseline,X,X,X,A_Low_Automation,A_Low,X,X,X,A2_Low_Automation,A_High,X,X,X,B_Low_Automation,B_Low,C_Low_Automation,C_Low,X,C2_Low_Automation,B_High,C_High
#,VehSubClass.Fuel_Tech,Automation,Ref,Baseline,,,,Scenatrio A,Scenatrio A,,,,Scenatrio A2,Scenatrio A2,,,,Scenario B & C,Scenario B & C,Scenario B & C,Scenario B & C,,Scenario B & C,Scenario B & C,Scenario B & C
#,,,,,,,,Low Automation,Low,,,,Low Automation,High,,,,Low Automation,Low,Low Automation,Low,,Low Automation,High,High
MDV_HDV,Class4Delivery-Gas_Conventional,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_Conv48V,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_Conv48V,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_Conv48V,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Diesel_HEV,No,,,,,,,,,,,,0.04,,,,0.04,0.04,0.04,0.04,,0.06,0.08,0.08
MDV_HDV,Class4Delivery-Diesel_HEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Diesel_HEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_HEV,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_HEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_HEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Diesel_PHEV,No,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.04
MDV_HDV,Class4Delivery-Diesel_PHEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Diesel_PHEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_PHEV,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_PHEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-Gas_PHEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class4Delivery-BEV_BEV,No,,,,,,,,,,,,,,,,,0.04,,0.04,,,,
MDV_HDV,Class4Delivery-BEV_BEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
