Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline-Short-Term Base,Baseline-Short-Term Low,Baseline-Short-Term High,Baseline-Long-Term Base,Baseline-Long-Term Low,Baseline-Long-Term High,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline Short-Term,Baseline Short-Term,Baseline Short-Term,Baseline-LongTerm,Baseline-LongTerm,Baseline-LongTerm,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# ,,,,,Base,Low ,High,Base,Low,High,Low,High,Low,High,Low,High
General,Land Use,,,Baseline,Short term baseline,Short term baseline,Short term baseline,Long term baseline,Long term baseline,Long term baseline,Short term,Short term,Long Term,Long Term,Long Term,Long Term
"# Passenger
# Passenger
# Passenger
# Passenger
# Passenger
# Passenger",Market Penetration Share,Powertrains,,"Conv gas (95.8%)
Conv gas 48V (0%)
Conv diesel (2%)
HEV (2%)
PHEV (0.1%)
BEV (0.1%)","Conv gas (95.8%)
Conv gas 48V (0%)
Conv diesel (2%)
HEV (2%)
PHEV (0.1%)
BEV (0.1%)","Conv gas (67%)
Conv gas 48V (16%)
Conv diesel (1%)
HEV (9%)
PHEV (3%)
BEV (4%)","Conv gas (59%)
Conv gas 48V (21%)
Conv diesel (1%)
HEV (7%)
PHEV (5%)
BEV (7%)","Conv gas (95.8%)
Conv gas 48V (0%)
Conv diesel (2%)
HEV (2%)
PHEV (0.1%)
BEV (0.1%)","Conv gas (11%)
Conv gas 48V (35%)
Conv diesel (0.5%)
HEV (28%)
PHEV (7.5%)
BEV (18%)","Conv gas (16%)
Conv gas 48V (21%)
Conv diesel (0.5%)
HEV (12%)
PHEV (11.5%)
BEV (39%)","Conv gas (67%)
Conv gas 48V (16%)
Conv diesel (1%)
HEV (9%)
PHEV (3%)
BEV (4%)","Conv gas (59%)
Conv gas 48V (21%)
Conv diesel (1%)
HEV (7%)
PHEV (5%)
BEV (7%)","Conv gas (11%)
Conv gas 48V (35%)
Conv diesel (0.5%)
HEV (28%)
PHEV (7.5%)
BEV (18%)","Conv gas (16%)
Conv gas 48V (21%)
Conv diesel (0.5%)
HEV (12%)
PHEV (11.5%)
BEV (39%)","Conv gas (11%)
Conv gas 48V (35%)
Conv diesel (0.5%)
HEV (28%)
PHEV (7.5%)
BEV (18%)","Conv gas (16%)
Conv gas 48V (21%)
Conv diesel (0.5%)
HEV (12%)
PHEV (11.5%)
BEV (39%)"
Passenger,Market Penetration Share,Powertrains,Gas_Conventional,0.958,0.958,0.67,0.59,0.958,0.11,0.16,0.67,0.59,0.11,0.16,0.11,0.16
Passenger,Market Penetration Share,Powertrains,Gas_Conv48V,0,0,0.16,0.21,0,0.35,0.21,0.16,0.21,0.35,0.21,0.35,0.21
Passenger,Market Penetration Share,Powertrains,Diesel_Conventional,0.02,0.02,0.01,0.01,0.02,0.005,0.005,0.01,0.01,0.005,0.005,0.005,0.005
Passenger,Market Penetration Share,Powertrains,Gas_HEV,0.02,0.02,0.09,0.07,0.02,0.28,0.12,0.09,0.07,0.28,0.12,0.28,0.12
Passenger,Market Penetration Share,Powertrains,Gas_PHEV,0.001,0.001,0.03,0.05,0.001,0.075,0.115,0.03,0.05,0.075,0.115,0.075,0.115
Passenger,Market Penetration Share,Powertrains,BEV_BEV,0.001,0.001,0.04,0.07,0.001,0.18,0.39,0.04,0.07,0.18,0.39,0.18,0.39
Passenger,Market Penetration Share,Partial Automation (Pct),0,0,0,0,0,0,0,0,10,11,5,8,5,8
Passenger,Market Penetration Share,Full Automation (Pct),0,0,0,0,0,0,0,0,0,0,17.5,51.5,17.5,51.5
Freight,Long Haul Commodity Flow - CAGR,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freight,E-Commerce Delivery Rates,Per Person/day,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.2,0.2,0.35,0.35,0.35,0.35
Freight,E-Commerce Delivery Rates,Per Household/day,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.4,0.4,0.7,0.7,0.7,0.7
Freight,Propensity of non car mode,Unitless,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1
